filename,acquisition,systemVendor,systemModel,systemFieldStrength_T,receiverChannels,institutionName,enc_x,enc_y,enc_z,rec_x,rec_y,rec_z,enc_x_mm,enc_y_mm,enc_z_mm,rec_x_mm,rec_y_mm,rec_z_mm,nPE,acc,num_low_freq,TR,TE,TI,flipAngle_deg,sequence_type,echo_spacing
sagittal_t2/kneenyu_0001.h5,sagittal_t2,0,0,0,15,0,640,646,33,320,320,33,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0002.h5,sagittal_t2,0,0,0,15,0,640,646,35,320,320,35,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0003.h5,sagittal_t2,0,0,0,15,0,640,646,36,320,320,36,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0004.h5,sagittal_t2,0,0,0,15,0,640,646,36,320,320,36,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0005.h5,sagittal_t2,0,0,0,15,0,640,646,31,320,320,31,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0006.h5,sagittal_t2,0,0,0,15,0,640,646,35,320,320,35,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0007.h5,sagittal_t2,0,0,0,15,0,640,646,35,320,320,35,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0008.h5,sagittal_t2,0,0,0,15,0,640,646,34,320,320,34,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0009.h5,sagittal_t2,0,0,0,15,0,640,646,31,320,320,31,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0010.h5,sagittal_t2,0,0,0,15,0,640,646,31,320,320,31,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0011.h5,sagittal_t2,0,0,0,15,0,640,646,35,320,320,35,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0012.h5,sagittal_t2,0,0,0,15,0,640,646,37,320,320,37,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0013.h5,sagittal_t2,0,0,0,15,0,640,646,36,320,320,36,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0014.h5,sagittal_t2,0,0,0,15,0,640,646,40,320,320,40,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0015.h5,sagittal_t2,0,0,0,15,0,640,646,33,320,320,33,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0016.h5,sagittal_t2,0,0,0,15,0,640,646,38,320,320,38,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0017.h5,sagittal_t2,0,0,0,15,0,640,646,36,320,320,36,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0018.h5,sagittal_t2,0,0,0,15,0,640,646,40,320,320,40,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0019.h5,sagittal_t2,0,0,0,15,0,640,646,34,320,320,34,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
sagittal_t2/kneenyu_0020.h5,sagittal_t2,0,0,0,15,0,640,646,40,320,320,40,0,0,0,0,0,0,646,0,24,0,0,0,0,0,0
